obj_id,ra,dec,filter,mjd,snr,instrument_id,instrument_name,ra_unc,dec_unc,origin,id,groups,altdata,mag,magerr,magsys,limiting_mag
ZTF19aadyppr,,,ztfi,59685.311192099936,,1,ZTF,,,None,203867903,[3],,,,ab,19.25779914855957
ZTF19aadyppr,,,ztfr,59676.365613400005,,1,ZTF,,,None,203867873,[3],,,,ab,20.056400299072266
ZTF19aadyppr,,,ztfr,59685.37173609994,,1,ZTF,,,None,203867904,[3],,,,ab,19.31760025024414
ZTF19aadyppr,,,ztfg,59676.38839119999,,1,ZTF,,,None,203867874,[3],,,,ab,20.295499801635742
ZTF19aadyppr,,,ztfg,59685.41263889987,,1,ZTF,,,None,203867905,[3],,,,ab,18.94300079345703
ZTF19aadyppr,,,ztfr,59676.45660880022,,1,ZTF,,,None,203867875,[3],,,,ab,19.877199172973633
ZTF19aadyppr,,,ztfi,59677.28348380001,,1,ZTF,,,None,203867876,[3],,,,ab,19.76180076599121
ZTF19aadyppr,,,ztfg,59677.30923609994,,1,ZTF,,,None,203867877,[3],,,,ab,20.252099990844727
ZTF19aadyppr,,,ztfg,59677.345567100216,,1,ZTF,,,None,203867878,[3],,,,ab,20.396299362182617
ZTF19aadyppr,,,ztfg,59686.38443290023,,1,ZTF,,,None,203867906,[3],,,,ab,18.79199981689453
ZTF19aadyppr,,,ztfr,59677.37357639987,,1,ZTF,,,None,203867879,[3],,,,ab,20.466400146484375
ZTF19aadyppr,,,ztfr,59687.34201390017,,1,ZTF,,,None,203867907,[3],,,,ab,19.762500762939453
ZTF19aadyppr,,,ztfr,59677.41379630007,,1,ZTF,,,None,203867880,[3],,,,ab,20.223600387573242
ZTF19aadyppr,,,ztfr,59678.265150499996,,1,ZTF,,,None,203867881,[3],,,,ab,20.50149917602539
ZTF19aadyppr,,,ztfr,59687.40346059995,,1,ZTF,,,None,203867908,[3],,,,ab,19.933399200439453
ZTF19aadyppr,,,ztfg,59678.30129629979,,1,ZTF,,,None,203867882,[3],,,,ab,20.46769905090332
ZTF19aadyppr,,,ztfg,59687.45627309987,,1,ZTF,,,None,203867909,[3],,,,ab,19.536800384521484
ZTF19aadyppr,,,ztfr,59678.4712731,,1,ZTF,,,None,203867883,[3],,,,ab,20.422300338745117
ZTF19aadyppr,,,ztfg,59688.26704860013,,1,ZTF,,,None,203867910,[3],,,,ab,19.69729995727539
ZTF19aadyppr,,,ztfr,59688.34496530006,,1,ZTF,,,None,203867911,[3],,,,ab,19.42060089111328
ZTF19aadyppr,,,ztfg,59678.48555559991,,1,ZTF,,,None,203867884,[3],,,,ab,20.398399353027344
ZTF19aadyppr,202.4267216,47.1880228,ztfr,59688.371875000186,-5.770350178671087,1,ZTF,,,None,203867912,[3],,,,ab,19.498687871232402
ZTF19aadyppr,,,ztfr,59679.216284700204,,1,ZTF,,,None,203867885,[3],,,,ab,20.340200424194336
ZTF19aadyppr,202.4267216,47.1880228,ztfr,59688.371875000186,-5.770342866950881,1,ZTF,,,None,204197420,[3],,,,ab,19.498679020544543
ZTF19aadyppr,,,ztfg,59679.2665856001,,1,ZTF,,,None,203867886,[3],,,,ab,20.155099868774414
ZTF19aadyppr,,,ztfg,59679.303888900205,,1,ZTF,,,None,203867887,[3],,,,ab,20.37660026550293
ZTF19aadyppr,,,ztfr,59679.39563659998,,1,ZTF,,,None,203867888,[3],,,,ab,20.373600006103516
ZTF19aadyppr,,,ztfr,59680.22802079981,,1,ZTF,,,None,203867889,[3],,,,ab,19.5757999420166
ZTF19aadyppr,,,ztfi,59680.2762616002,,1,ZTF,,,None,203867890,[3],,,,ab,19.528900146484375
ZTF19aadyppr,,,ztfg,59682.18725690013,,1,ZTF,,,None,203867891,[3],,,,ab,19.40690040588379
ZTF19aadyppr,,,ztfr,59682.28097219998,,1,ZTF,,,None,203867892,[3],,,,ab,19.919700622558594
ZTF19aadyppr,,,ztfr,59682.36451390013,,1,ZTF,,,None,203867893,[3],,,,ab,19.7455997467041
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.607476,,72,ATLAS,,,None,205984191,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.81
ZTF19aadyppr,202.4267181,47.1879576,ztfr,59688.37234950019,-8.485374974552846,1,ZTF,,,None,204197428,[3],,,,ab,19.71322607357409
ZTF19aadyppr,202.42674,47.18796,atlaso,58518.605036,36.191206825270974,72,ATLAS,,,None,205984218,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.837,0.03,ab,19.42
ZTF19aadyppr,202.42674,47.18796,atlaso,58518.613836,41.75908479838959,72,ATLAS,,,None,205984219,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.608,0.026000000000000002,ab,19.46
ZTF19aadyppr,202.42674,47.18796,atlasc,58520.643009,31.021034421660836,72,ATLAS,,,None,205984220,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,17.401,0.035,ab,19.83
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.615542,,72,ATLAS,,,None,205984192,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.89
ZTF19aadyppr,202.42674,47.18796,atlasc,58520.653009,36.191206825270974,72,ATLAS,,,None,205984221,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,17.348,0.03,ab,19.86
ZTF19aadyppr,202.42674,47.18796,atlasc,58520.662854,30.15933902105915,72,ATLAS,,,None,205984222,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,17.33,0.036,ab,19.78
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.617386,,72,ATLAS,,,None,205984193,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.86
ZTF19aadyppr,202.42674,47.18796,atlasc,58520.672731,16.96462819934577,72,ATLAS,,,None,205984223,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,17.366,0.064,ab,18.67
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.625469,,72,ATLAS,,,None,205984194,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.88
ZTF19aadyppr,202.42674,47.18796,atlaso,58522.628501,40.212452028078864,72,ATLAS,,,None,205984224,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.473,0.027,ab,19.45
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.627531,,72,ATLAS,,,None,205984195,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.94
ZTF19aadyppr,202.42674,47.18796,atlaso,58522.637294,43.429448190325175,72,ATLAS,,,None,205984225,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.473,0.025,ab,19.45
ZTF19aadyppr,202.42674,47.18796,atlaso,58446.648146,,72,ATLAS,,,None,205984174,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.35
ZTF19aadyppr,202.42674,47.18796,atlaso,58506.640405,,72,ATLAS,,,None,205984196,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.69
ZTF19aadyppr,202.42674,47.18796,atlaso,58446.656059,,72,ATLAS,,,None,205984175,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.14
ZTF19aadyppr,202.42674,47.18796,atlaso,58446.663585,,72,ATLAS,,,None,205984176,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,16.69
ZTF19aadyppr,202.42674,47.18796,atlaso,58494.651457,,72,ATLAS,,,None,205984177,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,19.5
ZTF19aadyppr,202.42674,47.18796,atlaso,58522.646158,43.429448190325175,72,ATLAS,,,None,205984226,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.526,0.025,ab,19.46
ZTF19aadyppr,202.42674,47.18796,atlaso,58522.655713,38.77629302707604,72,ATLAS,,,None,205984227,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.516,0.028,ab,19.35
ZTF19aadyppr,202.42674,47.18796,atlaso,58530.575882,45.23900853158872,72,ATLAS,,,None,205984228,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.353,0.024,ab,19.04
ZTF19aadyppr,202.42674,47.18796,atlaso,58530.586504,41.759084798389594,72,ATLAS,,,None,205984229,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.482,0.026,ab,19.17
ZTF19aadyppr,202.42674,47.18796,atlaso,58530.596325,45.23900853158872,72,ATLAS,,,None,205984230,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.475,0.024,ab,19.35
ZTF19aadyppr,202.42674,47.18796,atlaso,58494.66034,,72,ATLAS,,,None,205984178,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,19.37
ZTF19aadyppr,202.42674,47.18796,atlaso,58506.650953,,72,ATLAS,,,None,205984197,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.74
ZTF19aadyppr,202.42674,47.18796,atlaso,58494.669309,,72,ATLAS,,,None,205984179,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.73
ZTF19aadyppr,202.42674,47.18796,atlaso,58494.674046,,72,ATLAS,,,None,205984180,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,17.8
ZTF19aadyppr,202.42674,47.18796,atlaso,58494.678251,,72,ATLAS,,,None,205984181,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,16.7
ZTF19aadyppr,202.42674,47.18796,atlaso,58498.666454,,72,ATLAS,,,None,205984182,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,19.07
ZTF19aadyppr,202.42674,47.18796,atlaso,58498.675844,,72,ATLAS,,,None,205984183,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,17.37
ZTF19aadyppr,202.42674,47.18796,atlaso,58530.606045,47.20592194600563,72,ATLAS,,,None,205984231,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.46,0.023,ab,19.38
ZTF19aadyppr,202.42674,47.18796,atlaso,58538.579107,45.239008531588716,72,ATLAS,,,None,205984232,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.54,0.024,ab,19.3
ZTF19aadyppr,202.42674,47.18796,atlaso,58538.588875,38.77629302707604,72,ATLAS,,,None,205984233,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.537,0.028,ab,19.27
ZTF19aadyppr,202.42674,47.18796,atlaso,58538.598659,38.77629302707605,72,ATLAS,,,None,205984234,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.555,0.027999999999999997,ab,19.21
ZTF19aadyppr,202.42674,47.18796,atlaso,58538.60846,33.92925639869154,72,ATLAS,,,None,205984235,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.434,0.032,ab,18.58
ZTF19aadyppr,202.42674,47.18796,atlaso,58500.651692,,72,ATLAS,,,None,205984184,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,19.57
ZTF19aadyppr,202.42674,47.18796,atlaso,58500.660967,,72,ATLAS,,,None,205984185,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,19.58
ZTF19aadyppr,202.42674,47.18796,atlaso,58506.661355,,72,ATLAS,,,None,205984198,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.72
ZTF19aadyppr,202.42674,47.18796,atlaso,58500.671816,,72,ATLAS,,,None,205984186,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.96
ZTF19aadyppr,202.42674,47.18796,atlaso,58500.68162,,72,ATLAS,,,None,205984187,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,17.29
ZTF19aadyppr,202.42674,47.18796,atlaso,58542.586923,45.23900853158872,72,ATLAS,,,None,205984236,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.57,0.024,ab,19.28
ZTF19aadyppr,202.42674,47.18796,atlaso,58542.597548,43.429448190325175,72,ATLAS,,,None,205984237,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.523,0.025,ab,19.21
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.595451,,72,ATLAS,,,None,205984188,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.74
ZTF19aadyppr,202.42674,47.18796,atlaso,58542.608544,40.21245202807887,72,ATLAS,,,None,205984238,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.621,0.026999999999999996,ab,19.27
ZTF19aadyppr,202.42674,47.18796,atlaso,58506.672422,,72,ATLAS,,,None,205984199,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.14
ZTF19aadyppr,202.42674,47.18796,atlaso,58542.619136,41.75908479838959,72,ATLAS,,,None,205984239,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.58,0.026000000000000002,ab,19.27
ZTF19aadyppr,202.42674,47.18796,atlaso,58546.58701,38.77629302707604,72,ATLAS,,,None,205984240,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.645,0.028,ab,19.37
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.597497,,72,ATLAS,,,None,205984189,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.79
ZTF19aadyppr,202.42674,47.18796,atlaso,58502.605625,,72,ATLAS,,,None,205984190,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,,,ab,18.85
ZTF19aadyppr,202.42674,47.18796,atlaso,58550.563927,41.75908479838959,72,ATLAS,,,None,205984245,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.613,0.026,ab,19.48
ZTF19aadyppr,202.42674,47.18796,atlaso,58550.573705,49.35164567082407,72,ATLAS,,,None,205984246,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.614,0.022,ab,19.44
ZTF19aadyppr,202.42674,47.18796,atlaso,58546.597582,38.77629302707605,72,ATLAS,,,None,205984241,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.62,0.028,ab,19.38
ZTF19aadyppr,202.42674,47.18796,atlaso,58546.607575,49.35164567082406,72,ATLAS,,,None,205984242,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.576,0.022,ab,19.37
ZTF19aadyppr,202.42674,47.18796,atlaso,58546.618084,47.205921946005624,72,ATLAS,,,None,205984243,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.608,0.023000000000000003,ab,19.37
ZTF19aadyppr,202.42674,47.18796,atlaso,58550.55202,45.23900853158872,72,ATLAS,,,None,205984244,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.636,0.023999999999999997,ab,19.47
ZTF19aadyppr,202.42674,47.18796,atlaso,58550.583485,37.43917947441825,72,ATLAS,,,None,205984247,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.659,0.029,ab,19.37
ZTF19aadyppr,202.42674,47.18796,atlaso,58554.528811,38.77629302707604,72,ATLAS,,,None,205984248,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.717,0.028,ab,19.42
ZTF19aadyppr,202.42674,47.18796,atlaso,58508.627984,7.983354446750951,72,ATLAS,,,None,205984200,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.609,0.136,ab,19.39
ZTF19aadyppr,202.42674,47.18796,atlaso,58508.638598,7.436549347658421,72,ATLAS,,,None,205984201,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.745,0.146,ab,19.38
ZTF19aadyppr,202.42674,47.18796,atlaso,58508.648999,7.983354446750951,72,ATLAS,,,None,205984202,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.731,0.136,ab,19.42
ZTF19aadyppr,202.42674,47.18796,atlaso,58508.658566,11.193156750083809,72,ATLAS,,,None,205984203,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.467,0.09699999999999999,ab,19.39
ZTF19aadyppr,202.42674,47.18796,atlaso,58554.537577,43.429448190325175,72,ATLAS,,,None,205984249,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.645,0.025,ab,19.45
ZTF19aadyppr,202.42674,47.18796,atlaso,58510.602128,8.416559726807204,72,ATLAS,,,None,205984204,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,18.325,0.129,ab,19.29
ZTF19aadyppr,202.42674,47.18796,atlaso,58554.547744,40.212452028078864,72,ATLAS,,,None,205984250,"[255, 261, 280, 1, 239, 364, 41, 43, 51, 214, 215]",,16.716,0.027,ab,19.4
