# source: "ZTF19aadyppr" downloaded at: 2021-08-06T14:54:14.625Z UTC
mjd,filter,flux,fluxerr,zp,magsys,lim_mag,stacked
58480.51379630016,ztfg,NaN,8.439372318894716,23.9,ab,20.39142149562292,false
58557.44450230012,ztfg,185.7290563991944,13.264379423902787,23.9,ab,19.900479522557465,false
59251.4364467999,ztfg,NaN,5.9101524770682845,23.9,ab,20.778200149536133,false
58557.3192245001,ztfg,NaN,9.324592235180742,23.9,ab,20.283122240251828,false
58556.461689800024,ztfg,205.8542678978255,13.166876913863097,23.9,ab,19.908489923882918,false
58556.45738429995,ztfg,200.89094312932482,12.824433946226645,23.9,ab,19.937101350662367,false
59253.387500000186,ztfg,NaN,5.350554164057233,23.9,ab,20.886199951171875,false
59253.387500000186,ztfg,NaN,5.350554164057233,23.9,ab,20.886199951171875,false
58556.384664400015,ztfg,200.63207283868516,13.413461006064493,23.9,ab,19.88834473551798,false
58547.38942130003,ztfg,255.52908399838734,16.298526159630217,23.9,ab,19.676826028522157,false
58547.33018520009,ztfg,249.45963045847375,15.02313973779462,23.9,ab,19.76529509606106,false
59251.4364467999,ztfg,NaN,5.9101524770682845,23.9,ab,20.778200149536133,false
58543.48641199991,ztfg,280.362372578449,24.369564836706978,23.9,ab,19.240077427877956,false
59255.38664350007,ztfg,NaN,5.0619618740437575,23.9,ab,20.946399688720703,false
58543.299328700174,ztfg,264.338078658362,15.985627281325016,23.9,ab,19.69787265619628,false
58540.39821759984,ztfg,250.33412173280726,12.306934267132382,23.9,ab,19.981822160744084,false
58540.37792820018,ztfg,NaN,4.119740585256874,23.9,ab,21.170022188371945,false
58540.375,ztfg,231.65415162889562,14.354952614009362,23.9,ab,19.81469245515092,false
59257.386099500116,ztfg,NaN,8.077539210420632,23.9,ab,20.43899917602539,false
59257.386099500116,ztfg,NaN,8.077539210420632,23.9,ab,20.43899917602539,false
58539.40394680016,ztfg,258.9167191347735,17.191144296101303,23.9,ab,19.61893489909484,false
58539.38888890017,ztfg,273.4512310167972,19.36988665560958,23.9,ab,19.489379164653883,false
58539.2894444,ztfg,266.46505274818537,12.79490260751488,23.9,ab,19.939604402039052,false
59255.38664350007,ztfg,NaN,5.0619618740437575,23.9,ab,20.946399688720703,false
59249.453518500086,ztfg,NaN,11.11319149217348,23.9,ab,20.092599868774414,false
59249.453518500086,ztfg,NaN,11.11319149217348,23.9,ab,20.092599868774414,false
58558.40758100012,ztfg,174.3091521378625,12.694427013079993,23.9,ab,19.948164105823107,false
58574.38997690007,ztfg,119.79542885193271,7.452843435044714,23.9,ab,20.526391868393812,false
58559.346493099816,ztfg,164.02883355145264,12.70081971408169,23.9,ab,19.947617484863294,false
58574.37118060002,ztfg,114.84703340716396,8.500533747504813,23.9,ab,20.383581373527328,false
58559.320162000135,ztfg,175.9220519504828,12.78272459592281,23.9,ab,19.94063828285852,false
58574.348437500186,ztfg,127.99706526822452,16.085453899621818,23.9,ab,19.69111356235023,false
58573.33194439998,ztfg,125.14112500868501,7.869093839486442,23.9,ab,20.467385052369522,false
58573.311469899956,ztfg,129.4315345099716,8.529774763259649,23.9,ab,20.379852954791104,false
58558.42561340006,ztfg,173.34845804549838,10.896942885083284,23.9,ab,20.11393517668909,false
58855.45511570014,ztfg,NaN,8.597846273967077,23.9,ab,20.371222673601437,false
58955.32600690005,ztfg,NaN,3.1622067529378226,23.9,ab,21.457221208757687,false
58572.391319400165,ztfg,125.24493230553544,10.869771499088092,23.9,ab,20.116645826749643,false
58855.47457179986,ztfg,NaN,6.181724507432274,23.9,ab,20.729422746843625,false
58572.34752310021,ztfg,131.35289113206866,12.391547007623187,23.9,ab,19.974383041382175,false
58572.3234490999,ztfg,131.5346185191584,11.526855354642201,23.9,ab,20.052919754634157,false
58856.34975690022,ztfg,NaN,9.284317127268752,23.9,ab,20.287821947283078,false
58963.34685190022,ztfg,NaN,3.753789689193171,23.9,ab,21.271022020525265,false
58568.26214119978,ztfg,136.97468798401601,10.591497976486624,23.9,ab,20.144803394255362,false
58568.23570600012,ztfg,137.67017810584989,9.542759923937117,23.9,ab,20.25801186816248,false
58568.216296299826,ztfg,132.39748342277503,9.974172239515308,23.9,ab,20.21000470424062,false
58567.41730319988,ztfg,150.9940410723132,13.620162756995791,23.9,ab,19.871741119948567,false
