start_time,end_time,ra,dec,ha,ra_offset,dec_offset
2021-02-08 02:24:23.688,2021-02-08 02:24:53.688,+23:11:13.2,+11:45:0.1,+04:38:23.14,110.353091,31.348417
2021-02-08 02:25:04.254,2021-02-08 02:25:34.254,+23:07:30,+18:57:0.1,+04:42:48.49,112.461641,28.483167
2021-02-08 02:27:48.814,2021-02-08 02:28:18.814,+23:11:13.2,+11:45:0.1,+04:41:48.69,108.577618,30.341942
2021-02-08 02:28:29.314,2021-02-08 02:28:59.314,+23:07:30,+18:57:0.1,+04:46:14.07,109.097877,27.123835
2021-02-08 02:29:09.979,2021-02-08 02:29:39.979,+23:39:9.36,+11:45:0.1,+04:15:12.99,110.588492,39.143775
2021-02-08 02:31:14.151,2021-02-08 02:31:44.151,+23:11:13.2,+11:45:0.1,+04:45:15.25,106.170459,29.518163
2021-02-08 02:31:54.648,2021-02-08 02:32:24.648,+23:07:30,+18:57:0.1,+04:49:39.6,106.25753,26.242703
2021-02-08 02:32:35.121,2021-02-08 02:33:05.121,+23:39:9.36,+11:45:0.1,+04:18:39.57,108.143596,38.293589
2021-02-08 02:34:38.848,2021-02-08 02:35:08.848,+23:11:13.2,+11:45:0.1,+04:48:39.89,101.852853,29.917872
2021-02-08 02:35:19.293,2021-02-08 02:35:49.293,+23:07:30,+18:57:0.1,+04:53:5.19,101.932219,26.746536
2021-02-08 02:35:59.742,2021-02-08 02:36:29.742,+23:39:9.36,+11:45:0.1,+04:22:4.1,103.793994,37.329082
2021-02-08 02:38:06.981,2021-02-08 02:38:36.981,+23:33:44.64,+26:09:0.1,+04:29:37.31,109.62692,31.629774
2021-02-08 02:38:47.428,2021-02-08 02:39:17.428,+00:05:30.06,+18:57:0.1,+03:58:31.07,110.79721,43.023748
2021-02-08 02:39:27.945,2021-02-08 02:39:57.945,+00:07:5.67,+11:45:0.1,+03:57:35.58,110.630514,43.835477
2021-02-08 02:42:24.063,2021-02-08 02:42:54.063,+23:33:44.64,+26:09:0.1,+04:33:56.07,108.829449,30.031477
2021-02-08 02:43:04.511,2021-02-08 02:43:34.511,+00:05:30.06,+18:57:0.1,+04:02:48.73,110.181497,41.733564
2021-02-08 02:43:45.064,2021-02-08 02:44:15.064,+00:07:5.67,+11:45:0.1,+04:01:54.23,108.69859,42.350119
2021-02-08 02:46:41.120,2021-02-08 02:47:11.120,+23:33:44.64,+26:09:0.1,+04:38:13.82,107.626975,28.411726
2021-02-08 02:47:21.583,2021-02-08 02:47:51.583,+00:05:30.06,+18:57:0.1,+04:07:6.49,108.689926,40.416832
2021-02-08 02:48:02.160,2021-02-08 02:48:32.160,+00:07:5.67,+11:45:0.1,+04:06:11.94,106.955894,41.010759
2021-02-08 02:50:58.555,2021-02-08 02:51:28.555,+23:33:44.64,+26:09:0.1,+04:42:31.46,106.584006,26.801948
2021-02-08 02:51:39.247,2021-02-08 02:52:09.247,+00:05:30.06,+18:57:0.1,+04:11:25.23,106.81304,38.765349
2021-02-08 02:52:19.884,2021-02-08 02:52:49.884,+00:07:5.67,+11:45:0.1,+04:10:29.64,105.982869,39.56894
2021-02-08 02:55:15.857,2021-02-08 02:55:45.857,+23:33:44.64,+26:09:0.1,+04:46:49.18,103.543728,25.151042
2021-02-08 02:55:56.305,2021-02-08 02:56:26.305,+00:05:30.06,+18:57:0.1,+04:15:42.86,105.086919,37.424129
2021-02-08 03:02:25.089,2021-02-08 03:02:55.089,+02:41:47.22,-09:50:59.9,+01:45:58.24,135.461692,80.530259
2021-02-08 03:03:05.787,2021-02-08 03:03:35.787,+02:13:35.4,-09:50:59.9,+02:14:49.83,134.266757,74.597331
2021-02-08 03:07:08.758,2021-02-08 03:07:38.758,+01:02:58.09,+11:45:0.1,+03:29:27.02,127.702397,52.388261
