start_time,end_time,ra,dec,ha,ra_offset,dec_offset
2021-02-07 02:21:23.267,2021-02-07 02:21:53.267,+23:07:30,+18:57:0.1,+04:35:10.31,116.221348,32.030906
2021-02-07 02:22:03.836,2021-02-07 02:22:33.836,+23:11:13.2,+11:45:0.1,+04:32:6.25,112.104599,35.796739
2021-02-07 02:24:48.840,2021-02-07 02:25:18.840,+23:07:30,+18:57:0.1,+04:38:35.9,111.067992,31.26582
2021-02-07 02:25:29.408,2021-02-07 02:25:59.408,+23:11:13.2,+11:45:0.1,+04:35:32.8,108.478324,33.966248
2021-02-07 02:28:13.924,2021-02-07 02:28:43.924,+23:07:30,+18:57:0.1,+04:42:1.46,109.939714,30.31511
2021-02-07 02:28:54.372,2021-02-07 02:29:24.372,+23:11:13.2,+11:45:0.1,+04:38:58.39,106.205272,33.109431
2021-02-07 02:31:39.191,2021-02-07 02:32:09.191,+23:07:30,+18:57:0.1,+04:45:28.03,107.844505,29.109466
2021-02-07 02:32:19.637,2021-02-07 02:32:49.637,+23:11:13.2,+11:45:0.1,+04:42:23.93,104.624922,32.181655
2021-02-07 02:35:04.027,2021-02-07 02:35:34.027,+23:07:30,+18:57:0.1,+04:48:52.57,104.72891,27.779391
2021-02-07 02:35:44.493,2021-02-07 02:36:14.493,+23:11:13.2,+11:45:0.1,+04:45:49.51,101.040629,32.092266
2021-02-07 02:37:09.100,2021-02-07 02:37:39.100,+23:33:44.64,+26:09:0.1,+04:24:43.68,104.438096,34.670969
2021-02-07 02:37:49.543,2021-02-07 02:38:19.543,+23:03:38.52,+26:09:0.1,+04:55:31.74,102.688173,23.500755
2021-02-07 02:38:33.102,2021-02-07 02:39:03.102,+00:07:5.67,+11:45:0.1,+03:52:44.84,104.528402,47.121685
2021-02-07 02:41:25.353,2021-02-07 02:41:55.353,+23:33:44.64,+26:09:0.1,+04:29:0.37,104.819519,33.041309
2021-02-07 02:42:05.865,2021-02-07 02:42:35.865,+23:03:38.52,+26:09:0.1,+04:59:48.48,101.3503,21.413665
2021-02-07 02:42:49.409,2021-02-07 02:43:19.409,+00:07:5.67,+11:45:0.1,+03:57:1.56,103.47355,45.549882
2021-02-07 02:45:41.889,2021-02-07 02:46:11.889,+23:33:44.64,+26:09:0.1,+04:33:17.06,103.048907,31.311453
2021-02-07 02:46:22.530,2021-02-07 02:46:52.530,+23:03:38.52,+26:09:0.1,+05:04:6.15,101.232674,19.540485
2021-02-07 02:47:06.340,2021-02-07 02:47:36.340,+00:07:5.67,+11:45:0.1,+04:01:19.22,101.441881,43.756894
2021-02-07 02:49:58.817,2021-02-07 02:50:28.817,+23:33:44.64,+26:09:0.1,+04:37:34.77,102.947797,29.668656
2021-02-07 02:50:39.572,2021-02-07 02:51:09.572,+23:03:38.52,+26:09:0.1,+05:08:23.9,99.606784,17.587638
2021-02-07 02:51:23.117,2021-02-07 02:51:53.117,+00:07:5.67,+11:45:0.1,+04:05:36.96,101.162235,42.527905
2021-02-07 02:54:15.101,2021-02-07 02:54:45.101,+23:33:44.64,+26:09:0.1,+04:41:52.49,101.665725,27.933773
2021-02-07 02:54:55.801,2021-02-07 02:55:25.801,+23:03:38.52,+26:09:0.1,+05:12:40.58,98.151399,15.903347
2021-02-07 02:55:39.343,2021-02-07 02:56:09.343,+00:07:5.67,+11:45:0.1,+04:09:53.67,99.647773,41.027952
2021-02-07 03:11:20.881,2021-02-07 03:11:50.881,+02:01:29.89,+18:57:0.1,+02:31:7.78,136.048747,64.967633
2021-02-07 03:12:04.040,2021-02-07 03:12:34.040,+01:35:42.14,+33:21:0.1,+02:57:37.29,135.142461,59.898904
2021-02-07 03:12:44.489,2021-02-07 03:13:14.489,+01:04:34.07,+33:21:0.1,+03:29:27.98,132.745167,50.439175
2021-02-07 03:13:25.194,2021-02-07 03:13:55.194,+00:33:56.93,+26:09:0.1,+04:00:49.48,124.580087,40.423769
2021-02-07 03:14:05.675,2021-02-07 03:14:35.675,+00:02:17.84,+33:21:0.1,+04:33:10.7,120.613633,31.952837
2021-02-07 03:14:46.121,2021-02-07 03:15:16.121,+00:13:52.46,+40:33:0.1,+04:22:16.02,121.018524,34.281554
2021-02-07 03:15:26.569,2021-02-07 03:15:56.569,+00:08:51.1,+47:45:0.1,+04:27:57.95,121.079598,32.58179
2021-02-07 03:16:07.119,2021-02-07 03:16:37.119,+00:27:49.17,+54:57:0.1,+04:09:37.46,120.74951,36.689414
2021-02-07 03:16:49.750,2021-02-07 03:17:19.750,+23:33:20.16,+62:09:0.1,+05:05:0.45,114.425242,14.074839
2021-02-07 03:17:38.767,2021-02-07 03:18:08.767,+01:19:59.99,+83:45:0.1,+03:17:38.76,113.520625,55.48968
2021-02-07 03:18:22.909,2021-02-07 03:18:52.909,+01:19:59.99,+62:09:0.1,+03:19:28.61,116.947565,54.505859
2021-02-07 03:19:03.355,2021-02-07 03:19:33.355,+01:10:10.81,+54:57:0.1,+03:30:4.82,119.482859,49.220228
2021-02-07 03:19:43.972,2021-02-07 03:20:13.972,+00:49:00,+47:45:0.1,+03:52:1.12,119.501227,42.647341
2021-02-07 03:20:24.529,2021-02-07 03:20:54.529,+00:47:36,+40:24:0.1,+03:54:7.78,119.54772,40.302592
2021-02-07 03:21:04.978,2021-02-07 03:21:34.978,+01:21:33.55,+40:33:0.1,+03:20:46.72,121.315099,50.642313
2021-02-07 03:21:45.424,2021-02-07 03:22:15.424,+01:29:8.92,+47:45:0.1,+03:13:49.15,121.680092,54.34682
2021-02-07 03:22:30.661,2021-02-07 03:23:00.661,+02:49:26.69,+47:45:0.1,+01:54:6.81,130.256483,69.551918
2021-02-07 03:23:13.824,2021-02-07 03:23:43.824,+01:52:32.48,+54:57:0.1,+02:51:46.68,127.105138,55.656551
2021-02-07 03:23:56.696,2021-02-07 03:24:26.696,+02:49:26.69,+47:45:0.1,+01:55:33.03,130.30041,69.583751
2021-02-07 03:24:37.269,2021-02-07 03:25:07.269,+02:29:42.61,+40:33:0.1,+02:16:4.49,132.432887,63.054056
2021-02-07 03:25:17.942,2021-02-07 03:25:47.942,+02:37:58.37,+33:21:0.1,+02:08:31.58,133.085832,62.433097
2021-02-07 03:25:58.645,2021-02-07 03:26:28.645,+03:09:6.48,+33:21:0.1,+01:38:2.58,137.543291,66.556902
2021-02-07 03:26:39.153,2021-02-07 03:27:09.153,+03:04:27.66,+26:09:0.1,+01:43:26.19,139.059604,61.210604
2021-02-07 03:27:19.678,2021-02-07 03:27:49.678,+02:59:29.8,+18:57:0.1,+01:49:7.27,139.054562,61.017776
2021-02-07 03:29:23.334,2021-02-07 03:29:53.334,+03:28:29.75,+18:57:0.1,+01:22:10.68,142.889286,64.66817
2021-02-07 03:34:23.967,2021-02-07 03:34:53.967,+02:55:31.15,-02:38:59.9,+02:00:18.68,133.190847,76.124692
2021-02-07 03:38:27.833,2021-02-07 03:38:57.833,+02:13:7.82,+04:33:0.1,+02:46:44.81,125.270997,65.39638
2021-02-07 03:39:08.375,2021-02-07 03:39:38.375,+02:26:46.79,+11:45:0.1,+02:33:44.7,131.034934,67.292697
2021-02-07 03:39:49.058,2021-02-07 03:40:19.058,+01:58:50.56,+11:45:0.1,+03:02:21.81,127.807669,59.626554
2021-02-07 03:40:29.505,2021-02-07 03:40:59.505,+02:01:29.89,+18:57:0.1,+03:00:21.62,130.536953,58.842124
2021-02-07 03:41:09.995,2021-02-07 03:41:39.995,+02:04:15.35,+26:09:0.1,+02:58:14,131.02088,57.89189
2021-02-07 03:41:50.448,2021-02-07 03:42:20.448,+02:06:50.26,+33:21:0.1,+02:56:17.67,131.704759,60.492056
2021-02-07 03:42:31.060,2021-02-07 03:43:01.060,+01:35:42.14,+33:21:0.1,+03:28:9.28,130.1848,51.507426
2021-02-07 03:43:11.704,2021-02-07 03:43:41.704,+01:34:9.23,+26:09:0.1,+03:30:24.27,128.509734,48.795753
2021-02-07 03:43:52.155,2021-02-07 03:44:22.155,+01:32:29.94,+18:57:0.1,+03:32:46.38,125.763447,49.377349
2021-02-07 03:47:15.265,2021-02-07 03:47:45.265,+01:03:29.99,+18:57:0.1,+04:05:11.18,112.130401,40.726683
2021-02-07 03:48:36.338,2021-02-07 03:49:06.338,+00:34:30.02,+18:57:0.1,+04:35:33.7,106.463107,30.68269
2021-02-07 03:49:16.787,2021-02-07 03:49:46.787,+00:33:56.93,+26:09:0.1,+04:36:46.32,108.676851,29.36945
2021-02-07 03:49:57.439,2021-02-07 03:50:27.439,+00:03:50.78,+26:09:0.1,+05:07:35.53,103.989247,17.37773
2021-02-07 03:50:38.028,2021-02-07 03:51:08.028,+00:02:17.84,+33:21:0.1,+05:09:48.74,105.66336,18.721665
