start_time,end_time,ra,dec,ha,ra_offset,dec_offset
2021-02-09 02:24:42.229,2021-02-09 02:25:12.229,+23:07:30,+18:57:0.1,+04:46:22.97,117.164436,28.383467
2021-02-09 02:25:22.680,2021-02-09 02:25:52.680,+23:39:9.36,+11:45:0.1,+04:15:21.94,116.705071,40.328069
2021-02-09 02:28:12.272,2021-02-09 02:28:42.272,+23:07:30,+18:57:0.1,+04:49:53.55,111.145493,27.325111
2021-02-09 02:28:52.975,2021-02-09 02:29:22.975,+23:39:9.36,+11:45:0.1,+04:18:52.49,111.306526,39.069599
2021-02-09 02:31:42.444,2021-02-09 02:32:12.444,+23:07:30,+18:57:0.1,+04:53:24.17,105.475406,27.263898
2021-02-09 02:32:22.894,2021-02-09 02:32:52.894,+23:39:9.36,+11:45:0.1,+04:22:23.08,105.13383,38.19901
2021-02-09 02:35:12.626,2021-02-09 02:35:42.626,+23:07:30,+18:57:0.1,+04:56:54.66,98.216381,27.744067
2021-02-09 02:35:53.331,2021-02-09 02:36:23.331,+23:39:9.36,+11:45:0.1,+04:25:54.65,100.191697,37.257056
2021-02-09 02:38:43.354,2021-02-09 02:39:13.354,+23:07:30,+18:57:0.1,+05:00:26.25,89.59263,29.698583
2021-02-09 02:39:23.805,2021-02-09 02:39:53.805,+23:39:9.36,+11:45:0.1,+04:29:25.27,94.168319,37.54355
2021-02-09 02:42:18.176,2021-02-09 02:42:48.176,+23:00:1.8,+33:21:0.1,+05:11:32.87,88.678018,19.734706
2021-02-09 02:42:58.624,2021-02-09 02:43:28.624,+23:33:44.64,+26:09:0.1,+04:38:26.77,90.894887,30.049409
2021-02-09 02:43:39.077,2021-02-09 02:44:09.077,+00:05:30.06,+18:57:0.1,+04:07:20.39,94.089261,41.268559
2021-02-09 02:44:19.527,2021-02-09 02:44:49.527,+00:07:5.67,+11:45:0.1,+04:06:24.9,92.444469,41.834071
2021-02-09 02:46:36.188,2021-02-09 02:47:06.188,+23:00:1.8,+33:21:0.1,+05:15:51.59,90.308524,16.324324
2021-02-09 02:47:16.753,2021-02-09 02:47:46.753,+23:33:44.64,+26:09:0.1,+04:42:45.45,93.177244,27.590161
2021-02-09 02:47:57.204,2021-02-09 02:48:27.204,+00:05:30.06,+18:57:0.1,+04:11:39.16,93.749875,39.341639
2021-02-09 02:48:38.036,2021-02-09 02:49:08.036,+00:07:5.67,+11:45:0.1,+04:10:43.61,92.975617,39.960984
2021-02-09 02:50:54.549,2021-02-09 02:51:24.549,+23:00:1.8,+33:21:0.1,+05:20:10.26,89.980022,14.431196
2021-02-09 02:51:35.212,2021-02-09 02:52:05.212,+23:33:44.64,+26:09:0.1,+04:47:5.09,91.750705,25.577771
2021-02-09 02:52:15.660,2021-02-09 02:52:45.660,+00:05:30.06,+18:57:0.1,+04:15:57.8,93.08756,37.422661
2021-02-09 02:52:56.237,2021-02-09 02:53:26.237,+00:07:5.67,+11:45:0.1,+04:15:3.34,91.248965,38.094005
2021-02-09 02:55:12.537,2021-02-09 02:55:42.537,+23:00:1.8,+33:21:0.1,+05:24:28.92,88.435069,12.466178
2021-02-09 02:55:53.208,2021-02-09 02:56:23.208,+23:33:44.64,+26:09:0.1,+04:51:23.9,90.487986,23.623537
2021-02-09 02:56:33.710,2021-02-09 02:57:03.710,+00:05:30.06,+18:57:0.1,+04:20:16.55,91.517275,35.74044
2021-02-09 02:57:14.162,2021-02-09 02:57:44.162,+00:07:5.67,+11:45:0.1,+04:19:22.06,90.018676,36.544798
2021-02-09 02:59:30.688,2021-02-09 03:00:00.688,+23:00:1.8,+33:21:0.1,+05:28:47.64,87.173568,11.006923
2021-02-09 03:11:14.523,2021-02-09 03:11:44.523,+01:34:9.23,+26:09:0.1,+03:06:15.16,134.72051,55.40425
2021-02-09 03:11:55.045,2021-02-09 03:12:25.045,+01:35:42.14,+33:21:0.1,+03:05:20.45,134.806018,57.857602
2021-02-09 03:12:35.584,2021-02-09 03:13:05.584,+01:04:34.07,+33:21:0.1,+03:37:12.08,133.124028,48.282982
2021-02-09 03:13:16.090,2021-02-09 03:13:46.090,+00:33:25.95,+33:21:0.1,+04:09:3.98,126.620043,39.015124
2021-02-09 03:13:56.637,2021-02-09 03:14:26.637,+00:13:52.46,+40:33:0.1,+04:29:19.06,124.891264,31.719431
2021-02-09 03:14:37.086,2021-02-09 03:15:07.086,+00:08:51.1,+47:45:0.1,+04:35:1.91,125.259545,29.414611
2021-02-09 03:15:18.073,2021-02-09 03:15:48.073,+00:49:00,+47:45:0.1,+03:55:28.57,124.416034,43.244932
2021-02-09 03:15:58.524,2021-02-09 03:16:28.524,+01:21:33.55,+40:33:0.1,+03:23:32.99,125.241666,52.820816
2021-02-09 03:16:38.976,2021-02-09 03:17:08.976,+01:55:31.08,+40:33:0.1,+02:50:12.08,127.092118,60.871904
2021-02-09 03:17:19.428,2021-02-09 03:17:49.428,+01:29:8.92,+47:45:0.1,+03:17:15.55,126.394366,54.329117
2021-02-09 03:18:00.113,2021-02-09 03:18:30.113,+01:10:10.81,+54:57:0.1,+03:36:54.75,124.995818,45.940269
2021-02-09 03:18:40.797,2021-02-09 03:19:10.797,+01:19:59.99,+62:09:0.1,+03:27:39.82,122.336562,50.827333
2021-02-09 03:19:21.243,2021-02-09 03:19:51.243,+01:52:32.48,+54:57:0.1,+02:55:47.17,124.535467,60.232117
2021-02-09 03:20:01.871,2021-02-09 03:20:31.871,+02:13:19.99,+62:09:0.1,+02:35:29.43,122.955094,66.260126
2021-02-09 03:20:43.550,2021-02-09 03:21:13.550,+02:49:26.69,+47:45:0.1,+02:00:12.63,129.244428,71.046732
2021-02-09 03:21:24.164,2021-02-09 03:21:54.164,+03:03:54.14,+40:33:0.1,+01:46:29.68,131.496079,69.238506
2021-02-09 03:22:04.613,2021-02-09 03:22:34.613,+02:49:26.69,+47:45:0.1,+02:01:33.86,131.580661,67.060944
2021-02-09 03:25:14.324,2021-02-09 03:25:44.324,+03:09:6.48,+33:21:0.1,+01:45:11.63,164.429867,58.332558
2021-02-09 03:25:54.772,2021-02-09 03:26:24.772,+02:37:58.37,+33:21:0.1,+02:17:1.83,163.589799,52.450862
2021-02-09 03:26:35.481,2021-02-09 03:27:05.481,+02:04:15.35,+26:09:0.1,+02:51:30.74,160.566158,44.468584
2021-02-09 03:29:18.103,2021-02-09 03:29:48.103,+02:59:29.8,+18:57:0.1,+01:58:59.67,156.610357,58.696476
2021-02-09 03:29:58.789,2021-02-09 03:30:28.789,+03:34:33.78,+26:09:0.1,+01:24:31.39,162.708852,60.559906
2021-02-09 03:30:39.238,2021-02-09 03:31:09.238,+03:28:29.75,+18:57:0.1,+01:31:20.01,161.847251,60.897422
