start_time,end_time,ra,dec,ha,ra_offset,dec_offset
2021-02-05 02:19:03.766,2021-02-05 02:19:33.766,+22:38:30.12,+18:57:0.1,+04:53:57.98,106.844342,29.929704
2021-02-05 02:22:31.032,2021-02-05 02:23:01.032,+22:38:30.12,+18:57:0.1,+04:57:25.52,102.433912,28.862029
2021-02-05 02:23:11.480,2021-02-05 02:23:41.480,+23:11:13.2,+11:45:0.1,+04:25:21.26,104.389147,42.528334
2021-02-05 02:25:57.828,2021-02-05 02:26:27.828,+22:38:30.12,+18:57:0.1,+05:00:53.14,100.703874,27.979746
2021-02-05 02:26:38.401,2021-02-05 02:27:08.401,+23:11:13.2,+11:45:0.1,+04:28:48.89,103.233761,41.153551
2021-02-05 02:29:24.768,2021-02-05 02:29:54.768,+22:38:30.12,+18:57:0.1,+05:04:20.66,97.344188,28.114377
2021-02-05 02:30:05.215,2021-02-05 02:30:35.215,+23:11:13.2,+11:45:0.1,+04:32:16.45,100.10977,40.457453
2021-02-05 02:32:51.675,2021-02-05 02:33:21.675,+22:38:30.12,+18:57:0.1,+05:07:48.25,91.398056,29.226651
2021-02-05 02:33:32.121,2021-02-05 02:34:02.121,+23:11:13.2,+11:45:0.1,+04:35:44.04,93.66393,42.258919
2021-02-05 02:35:39.357,2021-02-05 02:36:09.357,+23:03:38.52,+26:09:0.1,+04:45:28.26,102.31185,32.900611
2021-02-05 02:36:19.805,2021-02-05 02:36:49.805,+23:36:30.24,+18:57:0.1,+04:13:14.18,102.986958,45.404002
2021-02-05 02:37:00.251,2021-02-05 02:37:30.251,+00:07:5.67,+11:45:0.1,+03:43:18.55,106.972982,54.593454
2021-02-05 02:39:54.193,2021-02-05 02:40:24.193,+23:03:38.52,+26:09:0.1,+04:49:44.02,105.079624,30.351646
2021-02-05 02:40:34.643,2021-02-05 02:41:04.643,+23:36:30.24,+18:57:0.1,+04:17:29.87,103.716467,42.879058
2021-02-05 02:41:15.362,2021-02-05 02:41:45.362,+00:07:5.67,+11:45:0.1,+03:47:34.22,106.496964,52.902383
2021-02-05 02:44:09.032,2021-02-05 02:44:39.032,+23:03:38.52,+26:09:0.1,+04:53:58.72,104.304378,28.449246
2021-02-05 02:44:49.482,2021-02-05 02:45:19.482,+23:36:30.24,+18:57:0.1,+04:21:45.51,103.257237,41.569597
2021-02-05 02:45:29.933,2021-02-05 02:45:59.933,+00:07:5.67,+11:45:0.1,+03:51:48.89,106.333794,51.158351
2021-02-05 02:48:23.951,2021-02-05 02:48:53.951,+23:03:38.52,+26:09:0.1,+04:58:14.4,103.804885,26.719274
2021-02-05 02:49:04.397,2021-02-05 02:49:34.397,+23:36:30.24,+18:57:0.1,+04:26:1.27,102.801062,40.141134
2021-02-05 02:49:44.955,2021-02-05 02:50:14.955,+00:07:5.67,+11:45:0.1,+03:56:4.59,104.774714,49.929956
2021-02-05 02:52:38.618,2021-02-05 02:53:08.618,+23:03:38.52,+26:09:0.1,+05:02:30.11,102.136559,24.810272
2021-02-05 02:53:19.094,2021-02-05 02:53:49.094,+23:36:30.24,+18:57:0.1,+04:30:16.97,100.950196,38.585926
2021-02-05 02:53:59.747,2021-02-05 02:54:29.747,+00:07:5.67,+11:45:0.1,+04:00:20.27,104.307563,49.008343
2021-02-05 03:09:46.761,2021-02-05 03:10:16.761,+02:59:29.79,+18:57:0.1,+01:23:38.24,153.690872,72.647741
2021-02-05 03:10:27.209,2021-02-05 03:10:57.209,+03:04:27.66,+26:09:0.1,+01:19:18.33,156.155592,70.127536
2021-02-05 03:11:08.373,2021-02-05 03:11:38.373,+02:37:58.37,+33:21:0.1,+01:46:27.13,152.286581,70.30269
2021-02-05 03:11:48.970,2021-02-05 03:12:18.970,+02:29:42.61,+40:33:0.1,+01:55:20.29,144.208311,71.064087
2021-02-05 03:12:31.545,2021-02-05 03:13:01.545,+01:35:42.14,+33:21:0.1,+02:50:11.24,142.684327,57.245632
2021-02-05 03:13:11.993,2021-02-05 03:13:41.993,+01:21:33.55,+40:33:0.1,+03:04:59.29,137.649711,55.508178
2021-02-05 03:13:52.485,2021-02-05 03:14:22.485,+01:29:8.92,+47:45:0.1,+02:58:1.72,132.256113,61.468511
2021-02-05 03:14:33.384,2021-02-05 03:15:03.384,+01:52:32.48,+54:57:0.1,+02:35:12.13,130.312294,66.241905
2021-02-05 03:15:14.067,2021-02-05 03:15:44.067,+02:13:19.99,+62:09:0.1,+02:14:55.35,127.086829,71.131811
2021-02-05 03:15:54.740,2021-02-05 03:16:24.740,+01:52:32.48,+54:57:0.1,+02:36:33.3,128.35212,66.416481
2021-02-05 03:16:35.989,2021-02-05 03:17:05.989,+01:10:10.81,+54:57:0.1,+03:19:43.24,126.082515,54.487557
2021-02-05 03:17:16.440,2021-02-05 03:17:46.440,+00:49:00,+47:45:0.1,+03:41:40.63,126.889978,48.311855
