start_time,end_time,ra,dec,ha,ra_offset,dec_offset
2021-02-03 02:23:16.926,2021-02-03 02:23:46.926,+23:11:13.2,+11:45:0.1,+04:17:33.18,131.417448,45.049045
2021-02-03 02:23:57.422,2021-02-03 02:24:27.422,+22:38:30.12,+18:57:0.1,+04:50:59.67,126.547464,31.508605
2021-02-03 02:26:47.316,2021-02-03 02:27:17.316,+23:11:13.2,+11:45:0.1,+04:21:4.76,125.789581,43.524034
2021-02-03 02:27:27.995,2021-02-03 02:27:57.995,+22:38:30.12,+18:57:0.1,+04:54:30.2,120.037999,30.486247
2021-02-03 02:29:36.725,2021-02-03 02:30:06.725,+23:24:52.2,+04:33:0.1,+04:10:14.31,123.010583,47.746143
2021-02-03 02:30:17.316,2021-02-03 02:30:47.316,+23:11:13.2,+11:45:0.1,+04:24:35.33,120.709039,42.170548
2021-02-03 02:30:57.766,2021-02-03 02:31:27.766,+22:38:30.12,+18:57:0.1,+04:58:0.76,115.255232,29.411451
2021-02-03 02:33:06.698,2021-02-03 02:33:36.698,+23:24:52.2,+04:33:0.1,+04:13:44.86,117.801202,46.912978
2021-02-03 02:33:47.429,2021-02-03 02:34:17.429,+23:11:13.2,+11:45:0.1,+04:28:5.96,115.227216,41.17674
2021-02-03 02:34:28.129,2021-02-03 02:34:58.129,+22:38:30.12,+18:57:0.1,+05:01:32.35,109.708377,29.273787
2021-02-03 02:36:36.807,2021-02-03 02:37:06.807,+23:24:52.2,+04:33:0.1,+04:17:15.4,110.1656,47.458447
2021-02-03 02:37:17.258,2021-02-03 02:37:47.258,+23:11:13.2,+11:45:0.1,+04:31:36.45,110.013934,41.247174
2021-02-03 02:37:57.703,2021-02-03 02:38:27.703,+22:38:30.12,+18:57:0.1,+05:05:1.98,100.757343,31.291047
2021-02-03 02:39:39.146,2021-02-03 02:40:09.146,+22:33:32.4,+26:09:0.1,+05:11:43.74,108.26141,22.800309
2021-02-03 02:40:19.595,2021-02-03 02:40:49.595,+23:03:38.52,+26:09:0.1,+04:42:15.79,111.276145,33.551099
2021-02-03 02:41:00.534,2021-02-03 02:41:30.534,+23:36:30.24,+18:57:0.1,+04:10:2.84,110.207648,45.917573
2021-02-03 02:41:40.981,2021-02-03 02:42:10.981,+23:39:9.36,+11:45:0.1,+04:08:3.25,109.28895,46.794523
2021-02-03 02:43:55.824,2021-02-03 02:44:25.824,+22:33:32.4,+26:09:0.1,+05:16:0.42,101.589508,20.353614
2021-02-03 02:44:36.276,2021-02-03 02:45:06.276,+23:03:38.52,+26:09:0.1,+04:46:33.62,105.820166,31.52561
2021-02-03 02:45:16.722,2021-02-03 02:45:46.722,+23:36:30.24,+18:57:0.1,+04:14:19.45,106.451205,44.167794
2021-02-03 02:45:57.366,2021-02-03 02:46:27.366,+23:39:9.36,+11:45:0.1,+04:12:20.96,105.55482,44.853275
2021-02-03 02:48:11.980,2021-02-03 02:48:41.980,+22:33:32.4,+26:09:0.1,+05:20:17.18,97.348226,19.853649
2021-02-03 02:48:52.456,2021-02-03 02:49:22.456,+23:03:38.52,+26:09:0.1,+04:50:50.37,102.47329,29.86991
2021-02-03 02:49:32.904,2021-02-03 02:50:02.904,+23:36:30.24,+18:57:0.1,+04:18:36.2,103.443855,42.41431
2021-02-03 02:50:13.539,2021-02-03 02:50:43.539,+23:39:9.36,+11:45:0.1,+04:16:37.68,102.135673,43.379067
2021-02-03 02:52:28.950,2021-02-03 02:52:58.950,+22:33:32.4,+26:09:0.1,+05:24:34.84,90.140045,21.175182
2021-02-03 02:53:09.529,2021-02-03 02:53:39.529,+23:03:38.52,+26:09:0.1,+04:55:8.09,96.839858,28.315907
2021-02-03 02:53:50.260,2021-02-03 02:54:20.260,+23:36:30.24,+18:57:0.1,+04:22:54.91,97.337379,41.081082
2021-02-03 02:54:30.956,2021-02-03 02:55:00.956,+23:39:9.36,+11:45:0.1,+04:20:55.39,96.541503,41.948047
2021-02-03 02:59:24.518,2021-02-03 02:59:54.518,+00:34:30.02,+18:57:0.1,+03:30:27.38,113.774338,55.614624
2021-02-03 03:00:06.193,2021-02-03 03:00:36.193,+01:04:34.07,+33:21:0.1,+03:01:1.72,117.38477,64.499186
2021-02-03 03:10:11.349,2021-02-03 03:10:41.349,+02:37:58.37,+33:21:0.1,+01:37:36.88,146.510922,72.177709
2021-02-03 03:10:52.064,2021-02-03 03:11:22.064,+02:06:50.26,+33:21:0.1,+02:09:28.3,146.743385,65.788617
