start_time,end_time,ra,dec,ha,ra_offset,dec_offset
2021-02-10 02:22:41.799,2021-02-10 02:23:11.799,+23:07:30,+18:57:0.1,+04:48:18.18,113.784959,27.650386
2021-02-10 02:26:11.952,2021-02-10 02:26:41.952,+23:07:30,+18:57:0.1,+04:51:48.82,106.065166,27.100609
2021-02-10 02:26:52.641,2021-02-10 02:27:22.641,+23:39:9.36,+11:45:0.1,+04:20:48.77,107.030127,39.251244
2021-02-10 02:29:42.249,2021-02-10 02:30:12.249,+23:07:30,+18:57:0.1,+04:55:20.3,101.40202,27.193867
2021-02-10 02:30:22.877,2021-02-10 02:30:52.877,+23:39:9.36,+11:45:0.1,+04:24:19.29,102.74377,38.322553
2021-02-10 02:33:12.466,2021-02-10 02:33:42.466,+23:07:30,+18:57:0.1,+04:58:50.94,95.734639,28.449613
2021-02-10 02:33:53.107,2021-02-10 02:34:23.107,+23:39:9.36,+11:45:0.1,+04:27:50.92,98.135699,37.83246
2021-02-10 02:36:42.753,2021-02-10 02:37:12.753,+23:07:30,+18:57:0.1,+05:02:21.49,86.641813,31.379058
2021-02-10 02:37:23.205,2021-02-10 02:37:53.205,+23:39:9.36,+11:45:0.1,+04:31:21.4,90.974602,40.391898
2021-02-10 02:40:47.440,2021-02-10 02:41:17.440,+00:35:1.89,+11:45:0.1,+03:38:51.87,110.174674,50.889456
2021-02-10 02:41:27.886,2021-02-10 02:41:57.886,+00:05:30.06,+18:57:0.1,+04:09:4.62,106.651136,40.852543
2021-02-10 02:42:08.657,2021-02-10 02:42:38.657,+23:33:44.64,+26:09:0.1,+04:41:33.15,105.087186,29.039212
2021-02-10 02:42:49.328,2021-02-10 02:43:19.328,+23:03:38.52,+26:09:0.1,+05:12:22.26,100.609844,17.538554
2021-02-10 02:45:03.201,2021-02-10 02:45:33.201,+00:35:1.89,+11:45:0.1,+03:43:8.57,108.534869,49.137443
2021-02-10 02:45:43.646,2021-02-10 02:46:13.646,+00:05:30.06,+18:57:0.1,+04:13:21.31,106.717462,39.360394
2021-02-10 02:46:24.119,2021-02-10 02:46:54.119,+23:33:44.64,+26:09:0.1,+04:45:49.81,104.570682,27.116694
2021-02-10 02:47:04.568,2021-02-10 02:47:34.568,+23:03:38.52,+26:09:0.1,+05:16:37.94,98.307816,16.484964
